ProductID,ProductName,CityCodeID,CityCode,CityName,DataTypeID,UnitID,Unit,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040
2666,Passenger Cars in Use,757,AJ01,Baku,103,72,'000,,,,,,,,,,,231.58,290.33,342.39,431.046,472.458,518.205,562.69,609.426,643.155,678.984,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,769,AR01,Buenos Aires,103,72,'000,,,,,,,,,,,3427.058604,3373.907293,3508.57883,3648.242608,3135.9757,3282.07238,3467.171331,3651.255,3859.401032,4011.173,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,783,AT01,Vienna,103,72,'000,,,,,,,,,,,1280.861207,1292.39895,1302.377039,1312.323001,1329.959,1350.662,1368.218,1384.193,1396.25,1416.984,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,789,AU01,Sydney,103,72,'000,,,,,,,,,,,2095.133,2127.762,2160.728,2215.195,2228.791,2271.375,2313.729,2342.101,2396.836,2440.179,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,790,AU02,Melbourne,103,72,'000,,,,,,,,,,,2135.415,2190.513,2263.468,2322.296,2368.987,2432.559,2485.285,2528.001,2602.995,2662.884,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,798,BE01,Antwerp,103,72,'000,,,,,,,,,,,590,598,606.59,619.31,627.967,636.442,656.33,661.881,668.606,676.488,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,799,BE02,Brussels,103,72,'000,,,,,,,,,,,1199,1209,1220.724,1242.087,1251.09,1269.748,1304.057,1321.316,1334.289,1347.276,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,806,BH01,Manama,103,72,'000,,,,,,,,,,,173.6148306,187.2240871,203.7064941,221.5164793,238.0157254,250.632008,262.4475141,276.5025248,300.7763022,338.1769186,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,807,BL01,Minsk,103,72,'000,,,,,,,,,,,407.145,438.858,479.271,511.578,553.968,582.673,622.457,610.75,621.436,635.226,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,815,BR01,São Paulo,103,72,'000,,,,,,,,,,,4966.921,5237.204,5576.424,5949.174,6307.989,6625.901,6927.034,7563.985,7883.635,8239.186,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,816,BR02,Rio de Janeiro,103,72,'000,,,,,,,,,,,1848.278,1913.408,2005.759,2109.789,2236.843,2370.155,2507.336,2681.332,2863.879,2988.866,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,817,BR03,Salvador,103,72,'000,,,,,,,,,,,374.57,401.296,431.34,463.424,501.894,540.466,575.135,609.046,648.134,690.594,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,841,BS01,Sarajevo,103,72,'000,,,,,,,,,,,76.09,82.035,87.604,106.593,105.134,104.414,105.606,109.333,110.202,115.678,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,843,BU01,Sofia,103,72,'000,,,,,,,,,,,519,371,437,496,523,540,565,587,592.685,605.341,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,850,BV01,Santa Cruz,103,72,'000,,,,,,,,,,,34.655,36.872,41.545,47.626,50.456,53.115,56.716,58.803,64.813,67.265,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,857,CA01,Toronto,103,72,'000,,,,,,,,,,,1655,1688,1639,1663,1730,1833,1865.129,1906.203,1957.548,2007.016,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,858,CA02,Montreal,103,72,'000,,,,,,,,,,,1178,1225,1202,1217,1274,1325,1339,1287,1367,1386.401,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,859,CA03,Vancouver,103,72,'000,,,,,,,,,,,1020.705,1031.698,1046.669,1052.608,1074.352811,1076.235,1087.867,1102.342,1114.871,1123.514,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,871,CH01,Zurich,103,72,'000,,,,,,,,,,,718.203,726.719,744.483,736.813,730.587,742.63,756.514,770.844,779.544,792.596,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,872,CH02,Geneva,103,72,'000,,,,,,,,,,,217.487,216.521,216.438,216.596,213.628,214.444,217.172,219.066,218.703,221.422,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,878,CL01,Santiago,103,72,'000,,,,,,,,,,,718.676,773.456,819.312,867.751,894.293,954.206,1038.34,1117.073,1192.35,1270.161,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,886,CN20,Shanghai,103,72,'000,,,,,,,,,,,583.694,676.122,776.714,877.659,1000.111,1115.2,1246.2,1402,1558.2,1750.876,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,887,CN21,Beijing,103,72,'000,,,,,,,,,,,2211.772,2508.005,2844.515,3247.444,3787.591,4595.646,5356.646,6106.646,6881.27,7639.483,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,888,CN22,Guangzhou,103,72,'000,,,,,,,,,,,566.792,684.758,835.808,969.078,1131.335,1364.816,1604.893,1773.925,2042.920036,2335.764784,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,889,CN23,Tianjin,103,72,'000,,,,,,,,,,,574.596,680.151,805.969,949.087,1152.388,1408.336,1710.465,2004.959,2143.655,2417.751,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,890,CN24,Wuhan,103,72,'000,,,,,,,,,,,266.995,306.103,361.693,428.359,532.768,652.936,789.819,941.219,1153.403,1350.579,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,891,CN25,Shenzhen,103,72,'000,,,,,,,,,,,583.694,728.966,886.517,1030.589,1188.379,1413.786,1660.778,1916.568,2078.156105,2446.721908,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,947,CO01,Bogota,103,72,'000,,,,,,,,,,,297.367,322.927,348.522,378.197,401.584,424.158,459.146,496.862,527.84,559.614,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,957,CR01,Zagreb,103,72,'000,,,,,,,,,,,386.828,405.954,427.196,444.133,444.067,439.022,437.088,392.937,390.475,395.675,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,960,CS01,Prague,103,72,'000,,,,,,,,,,,1090.006,1123.888,1162.36,1195.297,1202.954,1228.045,1262.521,1308.119,1309.707,1335.367,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,965,DE01,Berlin,103,72,'000,,,,,,,,,,,2131.999,2147.213,1908.72,1910.003,1939.477,1965.106,1972.478,2011.302,2023.47,2062.227,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,966,DE02,Hamburg,103,72,'000,,,,,,,,,,,1684.069,1687.427,1472.361,1474.227,1489.331,1512.184,1523.607,1549.141,1564.204,1587.162,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,967,DE03,Munich,103,72,'000,,,,,,,,,,,1641.061,1678.331,1449.518,1460.436,1470.599,1473.271,1485.002,1471.575,1494.537,1505.344,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,969,DE05,Frankfurt am Main,103,72,'000,,,,,,,,,,,1523.017,1538.307,1555.023,1430.412,1431.567,1449.018,1474.213,1517.955,1526.974,1556.455,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,990,DK01,Copenhagen,103,72,'000,,,,,,,,,,,542.416,551.414,566.198,573.35,573.89,583.052,589.11,599.932,614.5,622.67,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,995,DR01,Santo Domingo,103,72,'000,,,,,,,,,,,414,442,476,511,534,559,584.37,601.924,619.263,646.209,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1002,EC01,Guayaquil,103,72,'000,,,,,,,,,,,94.686,106.999,112.096,112.997,113.887,140.196,167.273,171.079,196.147,207.861,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1003,EC02,Quito,103,72,'000,,,,,,,,,,,159.286,165.64,151.99,170.489,129.903,161.184,154.238,211.864,235.501,253.0884523,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1011,EG01,Cairo,103,72,'000,,,,,,,,,,,1442.607,1538.693,1641.142,1722.06,1875.739,2074.053,2043.98,2170,2216,2264,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1019,ES01,Madrid,103,72,'000,,,,,,,,,,,3100.553,3101.068,3326.579,3375.924,3277.367,3297.22,3321.62,3291.037,3313.817,3339.13,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1020,ES02,Barcelona,103,72,'000,,,,,,,,,,,2314.85,2311.816,2396.656,2418.96,2393.478,2398,2402.574,2393.017,2380.852,2389.72,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1034,ET01,Tallinn,103,72,'000,,,,,,,,,,,209.693,234.434,234.041,185.06,178.211,196.802,218.388,237.152,254.222,273.95,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1036,FI01,Helsinki,103,72,'000,,,,,,,,,,,616.657,637.916,635.226,632.722,630.927,641.405,655.605,661.824,666.939,678.827,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1044,FR01,Paris,103,72,'000,,,,,,,,,,,5067,4986,5003,4875,4873,4765,4716,4774.49,4713.935,4691.714,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1045,FR02,Marseille,103,72,'000,,,,,,,,,,,931,945,957,949,961,968,970.222,967.857,968.05,969.799,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1046,FR03,Lyon,103,72,'000,,,,,,,,,,,803,821,838,832,844,856,867.648,872.375,880.377,887.284,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1069,GB01,Glasgow,103,72,'000,,,,,,,,,,,578,583,595,603,612,612,612,618,629,629.282,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1070,GB02,Leeds,103,72,'000,,,,,,,,,,,881.313,882.667,907.447,928.496,921.581,922.701,926.563,932.874,913.61,919.737,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1071,GB03,London,103,72,'000,,,,,,,,,,,6229.951,6240.665,6294.277,6342.164,6333.317,6369.804,6376.825,6423.767,6500.339,6765.827,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1072,GB04,Birmingham,103,72,'000,,,,,,,,,,,1577,1524,1542,1553,1535,1563,1635,1626,1597,1659.408,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Passenger Cars in Use,1073,GB05,Manchester,103,72,'000,,,,,,,,,,,1158.708,1197.224,1134.047,1131.191,1119.712,1108.406,1069.562,1069.3,1085.178,1161.605,,,,,,,,,,,,,,,,,,,,,,,,,,
