"CityCodeID","CityCode","CountryCode","CityName","CountryName","ProductID","ProductName","Unit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
757,"AJ01","AJ","Baku","Azerbaijan",2666,"Passenger cars in use","%",0.817860470578978,0.820021450079768,0.82337245953485,0.827587925933045,0.83239404336034,0.837309286086081,0.850180535175507,0.854566910881491,0.858026669639249,0.859778967118038,0.866372305778658,0.868681223678198,0.867530078976888,0.87327051283792,0.871983166953389,0.873210542835361,0.874059790177329
1919,"U108","US","Binghamton, NY ","USA",2666,"Passenger cars in use","%",0.738697567770504,0.739337535100915,0.739682430240257,0.741176415858981,0.742630061895118,0.744457273744209,0.742441591354989,0.750737923818812,0.75038284075452,0.752810242197194,0.749786528198743,0.56244962518308,0.485819586145434,0.487473456863105,0.429431035071273,0.369364380109872,0.339194810567183
922,"CN56","CN","Lanzhou","China",2666,"Passenger cars in use","%",0.53474594303928,0.542228853633788,0.552719457291409,0.567207419773801,0.584357782792507,0.602092138389857,0.636644286552376,0.659930379661109,0.675826385558941,0.683163478263453,0.68920578056797,0.704889651670636,0.72390628768409,0.74233740295594,0.755281698982421,0.767670933685131,0.777480508999896
758,"AJ02","AJ","Ganja","Azerbaijan",2666,"Passenger cars in use","%",0.759474255821305,0.764480622045066,0.771402816745539,0.780328191899571,0.7924973651129,0.804531551835158,0.826780374349319,0.837450592885375,0.857399622250655,0.859544976851194,0.87321169997104,0.853880794701987,0.857502443792766,0.860685630926331,0.858370128623536,0.85512353489127,0.85535654867676
923,"CN57","CN","Guiyang","China",2666,"Passenger cars in use","%",0.515182148338234,0.524624749957753,0.539716679161176,0.558414908703955,0.578648659787499,0.600165562913907,0.660452112788561,0.678083577777741,0.686561998899734,0.698528548634631,0.714590001255476,0.746351334076009,0.774459655422959,0.792022729197687,0.812474581195856,0.830827939934677,0.844027409600094
1072,"GB04","GB","Birmingham","UK",2666,"Passenger cars in use","%",0.847856890586627,0.84648525773425,0.844290560435981,0.841089200338254,0.837848804567951,0.835512194915236,0.826732982049829,0.820600495712797,0.820566693793001,0.824830550788542,0.824256011647443,0.828832595457605,0.832430329264141,0.832137137186699,0.828872777150823,0.829882694604687,0.830079588194765
783,"AT01","AT","Vienna","Austria",2666,"Passenger cars in use","%",0.821021802740299,0.820925200161342,0.820806362327171,0.820648832302436,0.820434292450843,0.820152379529685,0.819855659653804,0.819388592104556,0.818717973638097,0.817897076160419,0.817481900646755,0.816399359789375,0.815141341816977,0.814144401976753,0.813284801447705,0.812366685997913,0.811610559662014
1921,"U110","US","Blacksburg, VA ","USA",2666,"Passenger cars in use","%",0.630401349802025,0.628110907503558,0.625005109789745,0.620463969505799,0.61521967027968,0.609787369115826,0.600158728079238,0.591400671688546,0.587250074407047,0.584953992366775,0.564110174503064,0.54684416476087,0.464522704123249,0.467502130189465,0.441809535338178,0.418878165494762,0.398883478109433
925,"CN59","CN","Suzhou","China",2666,"Passenger cars in use","%",0.690393416516173,0.698743550086157,0.710595509325332,0.726732784707455,0.746163600808494,0.76554461864603,0.805411183238736,0.830011347153039,0.849794620014034,0.854143557331911,0.863882032047492,0.8738980817136,0.885066589952359,0.896737264564911,0.906054638022129,0.913962001642374,0.920221989131245
1205,"JP02","JP","Osaka","Japan",2666,"Passenger cars in use","%",0.72998600834001,0.73033991004955,0.730792113598966,0.731397619901929,0.732185100823772,0.733171123725867,0.734409741994293,0.736241670325637,0.738484948198511,0.741059306942633,0.744318688141701,0.74796601164624,0.750449096853836,0.752827804058622,0.755402162802744,0.75748031430169,0.758966924091604
926,"CN60","CN","Urumqi","China",2666,"Passenger cars in use","%",0.579875466490172,0.585216574654844,0.591996831346911,0.602090099296565,0.615289835683335,0.627945439972218,0.646238884883442,0.666687014174351,0.685688429746107,0.685799631007116,0.704833804687231,0.725123298572235,0.745018370921959,0.761460330178988,0.778011108122834,0.79173185251701,0.802139439070881
784,"AT02","AT","Graz","Austria",2666,"Passenger cars in use","%",0.806595485359946,0.806397453014443,0.806146838759206,0.805816337019528,0.80537106502134,0.804813194250421,0.804141924717315,0.803172323102103,0.801808889035833,0.800350228083074,0.798771768452459,0.796966872764745,0.794537240682399,0.793682063727604,0.791989115332839,0.790505409962922,0.78929388568758
785,"AT03","AT","Linz","Austria",2666,"Passenger cars in use","%",0.820521120878839,0.820463273349992,0.820389559905521,0.8202950511542,0.820161461941817,0.820000493119215,0.819799852349753,0.819538981143629,0.819092748242752,0.818712742538405,0.818194726194055,0.817869405424434,0.816712839438073,0.81697557360425,0.814970829779993,0.814265602439417,0.813589889379726
